   M   |   S   |   Method   |      α   
---------------------------------------
   4   |   3    |     FC     |  = 1/3     | runtime:  0.01

   5   |   3    |     FC     |  = 5/12     | runtime:  0.00

   7   |   3    |     FC     |  = 5/12     | runtime:  0.00

   8   |   3    |     FC     |  = 4/9     | runtime:  0.00

   10   |   3    |     FC     |  = 4/9     | runtime:  0.00

   11   |   3    |     FC     |  = 11/24     | runtime:  0.00

   13   |   3    |     FC     |  = 11/24     | runtime:  0.00

   14   |   3    |     FC     |  = 7/15     | runtime:  0.00

   16   |   3    |     FC     |  = 7/15     | runtime:  0.00

   17   |   3    |     FC     |  = 17/36     | runtime:  0.00

   19   |   3    |     FC     |  = 17/36     | runtime:  0.00

   20   |   3    |     FC     |  = 10/21     | runtime:  0.00

   22   |   3    |     FC     |  = 10/21     | runtime:  0.00

   23   |   3    |     FC     |  = 23/48     | runtime:  0.00

   25   |   3    |     FC     |  = 23/48     | runtime:  0.00

   26   |   3    |     FC     |  = 13/27     | runtime:  0.00

   28   |   3    |     FC     |  = 13/27     | runtime:  0.00

   29   |   3    |     FC     |  = 29/60     | runtime:  0.00

   31   |   3    |     FC     |  = 29/60     | runtime:  0.00

   32   |   3    |     FC     |  = 16/33     | runtime:  0.00

   34   |   3    |     FC     |  = 16/33     | runtime:  0.00

   35   |   3    |     FC     |  = 35/72     | runtime:  0.00

   37   |   3    |     FC     |  = 35/72     | runtime:  0.00

   38   |   3    |     FC     |  = 19/39     | runtime:  0.00

   40   |   3    |     FC     |  = 19/39     | runtime:  0.00

   41   |   3    |     FC     |  = 41/84     | runtime:  0.00

   43   |   3    |     FC     |  = 41/84     | runtime:  0.00

   44   |   3    |     FC     |  = 22/45     | runtime:  0.00

   46   |   3    |     FC     |  = 22/45     | runtime:  0.00

   47   |   3    |     FC     |  = 47/96     | runtime:  0.00

   49   |   3    |     FC     |  = 47/96     | runtime:  0.00

   50   |   3    |     FC     |  = 25/51     | runtime:  0.00

   52   |   3    |     FC     |  = 25/51     | runtime:  0.00

   53   |   3    |     FC     |  = 53/108     | runtime:  0.00

   55   |   3    |     FC     |  = 53/108     | runtime:  0.00

   56   |   3    |     FC     |  = 28/57     | runtime:  0.00

   58   |   3    |     FC     |  = 28/57     | runtime:  0.00

   59   |   3    |     FC     |  = 59/120     | runtime:  0.00

   61   |   3    |     FC     |  = 59/120     | runtime:  0.00

   62   |   3    |     FC     |  = 31/63     | runtime:  0.00

   64   |   3    |     FC     |  = 31/63     | runtime:  0.00

   65   |   3    |     FC     |  = 65/132     | runtime:  0.00

   67   |   3    |     FC     |  = 65/132     | runtime:  0.00

   68   |   3    |     FC     |  = 34/69     | runtime:  0.00

   70   |   3    |     FC     |  = 34/69     | runtime:  0.00

   71   |   3    |     FC     |  = 71/144     | runtime:  0.00

   73   |   3    |     FC     |  = 71/144     | runtime:  0.00

   74   |   3    |     FC     |  = 37/75     | runtime:  0.00

   76   |   3    |     FC     |  = 37/75     | runtime:  0.00

   77   |   3    |     FC     |  = 77/156     | runtime:  0.00

   79   |   3    |     FC     |  = 77/156     | runtime:  0.00

   80   |   3    |     FC     |  = 40/81     | runtime:  0.00

   82   |   3    |     FC     |  = 40/81     | runtime:  0.00

   83   |   3    |     FC     |  = 83/168     | runtime:  0.00

   85   |   3    |     FC     |  = 83/168     | runtime:  0.00

   86   |   3    |     FC     |  = 43/87     | runtime:  0.00

   88   |   3    |     FC     |  = 43/87     | runtime:  0.00

   89   |   3    |     FC     |  = 89/180     | runtime:  0.00

   91   |   3    |     FC     |  = 89/180     | runtime:  0.00

   92   |   3    |     FC     |  = 46/93     | runtime:  0.00

   94   |   3    |     FC     |  = 46/93     | runtime:  0.00

   95   |   3    |     FC     |  = 95/192     | runtime:  0.00

   97   |   3    |     FC     |  = 95/192     | runtime:  0.00

   98   |   3    |     FC     |  = 49/99     | runtime:  0.00

   100   |   3    |     FC     |  = 49/99     | runtime:  0.00

   101   |   3    |     FC     |  = 101/204     | runtime:  0.00

   103   |   3    |     FC     |  = 101/204     | runtime:  0.00

   104   |   3    |     FC     |  = 52/105     | runtime:  0.00

   106   |   3    |     FC     |  = 52/105     | runtime:  0.01

   107   |   3    |     FC     |  = 107/216     | runtime:  0.00

   109   |   3    |     FC     |  = 107/216     | runtime:  0.00

   110   |   3    |     FC     |  = 55/111     | runtime:  0.00

   5   |   4    |     FC     |  = 3/8     | runtime:  0.00

   7   |   4    |     FC     |  = 5/12     | runtime:  0.00

   9   |   4    |     FC     |  = 7/16     | runtime:  0.00

   11   |   4    |     FC     |  = 9/20     | runtime:  0.00

   13   |   4    |     FC     |  = 11/24     | runtime:  0.00

   15   |   4    |     FC     |  = 13/28     | runtime:  0.00

   17   |   4    |     FC     |  = 15/32     | runtime:  0.00

   19   |   4    |     FC     |  = 17/36     | runtime:  0.00

   21   |   4    |     FC     |  = 19/40     | runtime:  0.00

   23   |   4    |     FC     |  = 21/44     | runtime:  0.00

   25   |   4    |     FC     |  = 23/48     | runtime:  0.00

   27   |   4    |     FC     |  = 25/52     | runtime:  0.00

   29   |   4    |     FC     |  = 27/56     | runtime:  0.00

   31   |   4    |     FC     |  = 29/60     | runtime:  0.00

   33   |   4    |     FC     |  = 31/64     | runtime:  0.00

   35   |   4    |     FC     |  = 33/68     | runtime:  0.00

   37   |   4    |     FC     |  = 35/72     | runtime:  0.00

   39   |   4    |     FC     |  = 37/76     | runtime:  0.00

   41   |   4    |     FC     |  = 39/80     | runtime:  0.00

   43   |   4    |     FC     |  = 41/84     | runtime:  0.00

   45   |   4    |     FC     |  = 43/88     | runtime:  0.00

   47   |   4    |     FC     |  = 45/92     | runtime:  0.00

   49   |   4    |     FC     |  = 47/96     | runtime:  0.00

   51   |   4    |     FC     |  = 49/100     | runtime:  0.00

   53   |   4    |     FC     |  = 51/104     | runtime:  0.00

   55   |   4    |     FC     |  = 53/108     | runtime:  0.00

   57   |   4    |     FC     |  = 55/112     | runtime:  0.00

   59   |   4    |     FC     |  = 57/116     | runtime:  0.00

   61   |   4    |     FC     |  = 59/120     | runtime:  0.00

   63   |   4    |     FC     |  = 61/124     | runtime:  0.00

   65   |   4    |     FC     |  = 63/128     | runtime:  0.00

   67   |   4    |     FC     |  = 65/132     | runtime:  0.00

   69   |   4    |     FC     |  = 67/136     | runtime:  0.00

   71   |   4    |     FC     |  = 69/140     | runtime:  0.00

   73   |   4    |     FC     |  = 71/144     | runtime:  0.00

   75   |   4    |     FC     |  = 73/148     | runtime:  0.00

   77   |   4    |     FC     |  = 75/152     | runtime:  0.00

   79   |   4    |     FC     |  = 77/156     | runtime:  0.00

   81   |   4    |     FC     |  = 79/160     | runtime:  0.00

   83   |   4    |     FC     |  = 81/164     | runtime:  0.00

   85   |   4    |     FC     |  = 83/168     | runtime:  0.00

   87   |   4    |     FC     |  = 85/172     | runtime:  0.00

   89   |   4    |     FC     |  = 87/176     | runtime:  0.00

   91   |   4    |     FC     |  = 89/180     | runtime:  0.00

   93   |   4    |     FC     |  = 91/184     | runtime:  0.00

   95   |   4    |     FC     |  = 93/188     | runtime:  0.00

   97   |   4    |     FC     |  = 95/192     | runtime:  0.00

   99   |   4    |     FC     |  = 97/196     | runtime:  0.00

   101   |   4    |     FC     |  = 99/200     | runtime:  0.00

   103   |   4    |     FC     |  = 101/204     | runtime:  0.00

   105   |   4    |     FC     |  = 103/208     | runtime:  0.00

   107   |   4    |     FC     |  = 105/212     | runtime:  0.00

   109   |   4    |     FC     |  = 107/216     | runtime:  0.00

   6   |   5    |     FC     |  = 2/5     | runtime:  0.00

   7   |   5    |     FC     |  = 1/3     | runtime:  0.00

   8   |   5    |     FC     |  = 2/5     | runtime:  0.00

   9   |   5    |     FC     |  = 2/5     | runtime:  0.00

   11   |   5    |    INT     |  = 13/30     | runtime:  0.01

   12   |   5    |     FC     |  = 2/5     | runtime:  0.00

   13   |   5    |     FC     |  = 13/30     | runtime:  0.00

   14   |   5    |     FC     |  = 11/25     | runtime:  0.00

   16   |   5    |     FC     |  = 16/35     | runtime:  0.00

   17   |   5    |     FC     |  = 13/30     | runtime:  0.00

   18   |   5    |     FC     |  = 9/20     | runtime:  0.00

   19   |   5    |     FC     |  = 16/35     | runtime:  0.00

   21   |   5    |     FC     |  = 7/15     | runtime:  0.00

   22   |   5    |     FC     |  = 9/20     | runtime:  0.00

   23   |   5    |     FC     |  = 23/50     | runtime:  0.00

   24   |   5    |     FC     |  = 7/15     | runtime:  0.00

   26   |   5    |     FC     |  = 26/55     | runtime:  0.00

   27   |   5    |     FC     |  = 23/50     | runtime:  0.00

   28   |   5    |     FC     |  = 7/15     | runtime:  0.00

   29   |   5    |     FC     |  = 26/55     | runtime:  0.00

   31   |   5    |     FC     |  = 31/65     | runtime:  0.00

   32   |   5    |     FC     |  = 7/15     | runtime:  0.00

   33   |   5    |     FC     |  = 33/70     | runtime:  0.00

   34   |   5    |     FC     |  = 31/65     | runtime:  0.00

   36   |   5    |     FC     |  = 12/25     | runtime:  0.00

   37   |   5    |     FC     |  = 33/70     | runtime:  0.00

   38   |   5    |     FC     |  = 19/40     | runtime:  0.00

   39   |   5    |     FC     |  = 12/25     | runtime:  0.00

   41   |   5    |     FC     |  = 41/85     | runtime:  0.00

   42   |   5    |     FC     |  = 19/40     | runtime:  0.00

   43   |   5    |     FC     |  = 43/90     | runtime:  0.00

   44   |   5    |     FC     |  = 41/85     | runtime:  0.00

   46   |   5    |     FC     |  = 46/95     | runtime:  0.00

   47   |   5    |     FC     |  = 43/90     | runtime:  0.00

   48   |   5    |     FC     |  = 12/25     | runtime:  0.00

   49   |   5    |     FC     |  = 46/95     | runtime:  0.00

   51   |   5    |     FC     |  = 17/35     | runtime:  0.00

   52   |   5    |     FC     |  = 12/25     | runtime:  0.00

   53   |   5    |     FC     |  = 53/110     | runtime:  0.00

   54   |   5    |     FC     |  = 17/35     | runtime:  0.00

   56   |   5    |     FC     |  = 56/115     | runtime:  0.00

   57   |   5    |     FC     |  = 53/110     | runtime:  0.00

   58   |   5    |     FC     |  = 29/60     | runtime:  0.00

   59   |   5    |     FC     |  = 56/115     | runtime:  0.00

   61   |   5    |     FC     |  = 61/125     | runtime:  0.00

   62   |   5    |     FC     |  = 29/60     | runtime:  0.00

   63   |   5    |     FC     |  = 63/130     | runtime:  0.00

   64   |   5    |     FC     |  = 61/125     | runtime:  0.00

   66   |   5    |     FC     |  = 22/45     | runtime:  0.00

   67   |   5    |     FC     |  = 63/130     | runtime:  0.00

   68   |   5    |     FC     |  = 17/35     | runtime:  0.00

   69   |   5    |     FC     |  = 22/45     | runtime:  0.00

   71   |   5    |     FC     |  = 71/145     | runtime:  0.00

   72   |   5    |     FC     |  = 17/35     | runtime:  0.00

   73   |   5    |     FC     |  = 73/150     | runtime:  0.00

   74   |   5    |     FC     |  = 71/145     | runtime:  0.00

   76   |   5    |     FC     |  = 76/155     | runtime:  0.00

   77   |   5    |     FC     |  = 73/150     | runtime:  0.00

   78   |   5    |     FC     |  = 39/80     | runtime:  0.00

   79   |   5    |     FC     |  = 76/155     | runtime:  0.00

   81   |   5    |     FC     |  = 27/55     | runtime:  0.00

   82   |   5    |     FC     |  = 39/80     | runtime:  0.00

   83   |   5    |     FC     |  = 83/170     | runtime:  0.00

   84   |   5    |     FC     |  = 27/55     | runtime:  0.00

   86   |   5    |     FC     |  = 86/175     | runtime:  0.00

   87   |   5    |     FC     |  = 83/170     | runtime:  0.00

   88   |   5    |     FC     |  = 22/45     | runtime:  0.00

   89   |   5    |     FC     |  = 86/175     | runtime:  0.00

   91   |   5    |     FC     |  = 91/185     | runtime:  0.00

   92   |   5    |     FC     |  = 22/45     | runtime:  0.00

   93   |   5    |     FC     |  = 93/190     | runtime:  0.00

   94   |   5    |     FC     |  = 91/185     | runtime:  0.00

   96   |   5    |     FC     |  = 32/65     | runtime:  0.00

   97   |   5    |     FC     |  = 93/190     | runtime:  0.00

   98   |   5    |     FC     |  = 49/100     | runtime:  0.00

   99   |   5    |     FC     |  = 32/65     | runtime:  0.00

   101   |   5    |     FC     |  = 101/205     | runtime:  0.00

   102   |   5    |     FC     |  = 49/100     | runtime:  0.00

   103   |   5    |     FC     |  = 103/210     | runtime:  0.00

   104   |   5    |     FC     |  = 101/205     | runtime:  0.00

   106   |   5    |     FC     |  = 106/215     | runtime:  0.00

   107   |   5    |     FC     |  = 103/210     | runtime:  0.00

   108   |   5    |     FC     |  = 27/55     | runtime:  0.00

   109   |   5    |     FC     |  = 106/215     | runtime:  0.00

   7   |   6    |    INT     |  = 1/3     | runtime:  0.00

   11   |   6    |     FC     |  = 7/18     | runtime:  0.00

   13   |   6    |     FC     |  = 13/30     | runtime:  0.00

   17   |   6    |     FC     |  = 13/30     | runtime:  0.00

   19   |   6    |     FC     |  = 19/42     | runtime:  0.00

   23   |   6    |     FC     |  = 19/42     | runtime:  0.00

   25   |   6    |     FC     |  = 25/54     | runtime:  0.00

   29   |   6    |     FC     |  = 25/54     | runtime:  0.00

   31   |   6    |     FC     |  = 31/66     | runtime:  0.00

