---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 110          |
|               PROC verified                |
|              time limit = 660            |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
------------------------------------------------------------------------------------------------------

  4     |  3     |   FC             EBM                         |  =      1/3     |   2.84 
  5     |  3     |   FC  INT  HALF            MID  GAP          |  =      5/12    |   8.33 
  7     |  3     |   FC                                         |  =      5/12    |   0.11 
  8     |  3     |   FC                                         |  =      4/9     |   0.00 
  10    |  3     |   FC                                         |  =      4/9     |   0.03 
  11    |  3     |   FC                                         |  =     11/24    |   0.01 
  13    |  3     |   FC                                         |  =     11/24    |   0.10 
  14    |  3     |   FC                                         |  =      7/15    |   0.01 
  16    |  3     |   FC                                         |  =      7/15    |   0.12 
  17    |  3     |   FC                                         |  =     17/36    |   0.01 
  19    |  3     |   FC                                         |  =     17/36    |   0.07 
  20    |  3     |   FC                                         |  =     10/21    |   0.01 
  22    |  3     |   FC                                         |  =     10/21    |   0.13 
  23    |  3     |   FC                                         |  =     23/48    |   0.02 
  25    |  3     |   FC                                         |  =     23/48    |   0.16 
  26    |  3     |   FC                                         |  =     13/27    |   0.04 
  28    |  3     |   FC                                         |  =     13/27    |   0.14 
  29    |  3     |   FC                                         |  =     29/60    |   0.02 
  31    |  3     |   FC                                         |  =     29/60    |   0.11 
  32    |  3     |   FC                                         |  =     16/33    |   0.04 
  34    |  3     |   FC                                         |  =     16/33    |   0.11 
  35    |  3     |   FC                                         |  =     35/72    |   0.05 
  37    |  3     |   FC                                         |  =     35/72    |   0.15 
  38    |  3     |   FC                                         |  =     19/39    |   0.11 
  40    |  3     |   FC                                         |  =     19/39    |   0.14 
  41    |  3     |   FC                                         |  =     41/84    |   0.06 
  43    |  3     |   FC                                         |  =     41/84    |   0.19 
  44    |  3     |   FC                                         |  =     22/45    |   0.13 
  46    |  3     |   FC                                         |  =     22/45    |   0.20 
  47    |  3     |   FC                                         |  =     47/96    |   0.04 
  49    |  3     |   FC                                         |  =     47/96    |   0.17 
  50    |  3     |   FC                                         |  =     25/51    |   0.11 
  52    |  3     |   FC                                         |  =     25/51    |   0.19 
  53    |  3     |   FC                                         |  =     53/108   |   0.06 
  55    |  3     |   FC                                         |  =     53/108   |   0.18 
  56    |  3     |   FC                                         |  =     28/57    |   0.10 
  58    |  3     |   FC                                         |  =     28/57    |   0.16 
  59    |  3     |   FC                                         |  =     59/120   |   0.10 
  61    |  3     |   FC                                         |  =     59/120   |   0.15 
  62    |  3     |   FC                                         |  =     31/63    |   0.09 
  64    |  3     |   FC                                         |  =     31/63    |   0.15 
  65    |  3     |   FC                                         |  =     65/132   |   0.07 
  67    |  3     |   FC                                         |  =     65/132   |   0.23 
  68    |  3     |   FC                                         |  =     34/69    |   0.12 
  70    |  3     |   FC                                         |  =     34/69    |   0.20 
  71    |  3     |   FC                                         |  =     71/144   |   0.12 
  73    |  3     |   FC                                         |  =     71/144   |   0.26 
  74    |  3     |   FC                                         |  =     37/75    |   0.21 
  76    |  3     |   FC                                         |  =     37/75    |   0.19 
  77    |  3     |   FC                                         |  =     77/156   |   0.11 
  79    |  3     |   FC                                         |  =     77/156   |   0.30 
