---------------------------------------------
|    3 ≤ s ≤ 200    s < m < 250             |
|     m and s that did not match SCOTT      |
---------------------------------------------


m: 94  s: 25  | Scott alpha: 37/80  | other alpha: 1/1 | split:  V 
m: 119  s: 25  | Scott alpha: 683/1450  | other alpha: 1/1 | split:  V 
m: 167  s: 29  | Scott alpha: 1133/2378  | other alpha: 1/1 | split:  V 
m: 163  s: 31  | Scott alpha: 823/1736  | other alpha: 1/1 | split:  V 
m: 157  s: 33  | Scott alpha: 653/1386  | other alpha: 1/1 | split:  V 
m: 223  s: 33  | Scott alpha: 581/1210  | other alpha: 1/1 | split:  V 
m: 184  s: 35  | Scott alpha: 156/329  | other alpha: 1/1 | split:  V 
m: 250  s: 37  | Scott alpha: 764/1591  | other alpha: 1/1 | split:  V 
m: 236  s: 41  | Scott alpha: 254/533  | other alpha: 1/1 | split:  V 
m: 179  s: 42  | Scott alpha: 569/1218  | other alpha: 1/1 | split:  V 
m: 177  s: 47  | Scott alpha: 1737/3760  | other alpha: 1/1 | split:  V 
m: 213  s: 50  | Scott alpha: 257/550  | other alpha: 1/1 | split:  V 
m: 147  s: 53  | Scott alpha: 1463/3286  | other alpha: 1/1 | split:  V 
m: 152  s: 55  | Scott alpha: 54/121  | other alpha: 1/1 | split:  V 
m: 207  s: 55  | Scott alpha: 1271/2750  | other alpha: 1/1 | split:  V 
m: 158  s: 57  | Scott alpha: 584/1311  | other alpha: 1/1 | split:  V 
m: 247  s: 58  | Scott alpha: 1003/2146  | other alpha: 1/1 | split:  V 
m: 222  s: 59  | Scott alpha: 300/649  | other alpha: 1/1 | split:  V 
m: 169  s: 61  | Scott alpha: 1033/2318  | other alpha: 1/1 | split:  V 
m: 241  s: 64  | Scott alpha: 547/1184  | other alpha: 1/1 | split:  V 
m: 212  s: 65  | Scott alpha: 160/351  | other alpha: 1/1 | split:  V 
m: 191  s: 69  | Scott alpha: 923/2070  | other alpha: 1/1 | split:  V 
m: 197  s: 71  | Scott alpha: 2591/5822  | other alpha: 1/1 | split:  V 
m: 199  s: 72  | Scott alpha: 707/1584  | other alpha: 1/1 | split:  V 
m: 83  s: 78  | Scott alpha: 79/234  | other alpha: 1/1 | split:  V-1 
m: 187  s: 82  | Scott alpha: 881/2050  | other alpha: 1/1 | split:  V 
m: 227  s: 82  | Scott alpha: 1097/2460  | other alpha: 1/1 | split:  V 
m: 189  s: 83  | Scott alpha: 1143/2656  | other alpha: 1/1 | split:  V 
m: 233  s: 84  | Scott alpha: 617/1386  | other alpha: 1/1 | split:  V 
m: 247  s: 89  | Scott alpha: 4039/9078  | other alpha: 1/1 | split:  V 
m: 207  s: 91  | Scott alpha: 1019/2366  | other alpha: 1/1 | split:  V 
m: 124  s: 97  | Scott alpha: 239/679  | other alpha: 1/1 | split:  V 
m: 235  s: 103  | Scott alpha: 2743/6386  | other alpha: 1/1 | split:  V 
m: 188  s: 105  | Scott alpha: 296/735  | other alpha: 1/1 | split:  V 
m: 239  s: 105  | Scott alpha: 437/1015  | other alpha: 1/1 | split:  V 
m: 113  s: 108  | Scott alpha: 109/324  | other alpha: 1/1 | split:  V-1 
m: 115  s: 108  | Scott alpha: 109/324  | other alpha: 1/1 | split:  V-1 
m: 116  s: 109  | Scott alpha: 184/545  | other alpha: 1/1 | split:  V-1 
m: 117  s: 110  | Scott alpha: 37/110  | other alpha: 1/1 | split:  V-1 
m: 200  s: 113  | Scott alpha: 968/2373  | other alpha: 1/1 | split:  V 
m: 131  s: 122  | Scott alpha: 125/366  | other alpha: 1/1 | split:  V-1 
m: 131  s: 123  | Scott alpha: 331/984  | other alpha: 1/1 | split:  V-1 
m: 161  s: 123  | Scott alpha: 1099/3198  | other alpha: 1/1 | split:  V 
m: 220  s: 123  | Scott alpha: 595/1476  | other alpha: 1/1 | split:  V 
m: 133  s: 125  | Scott alpha: 253/750  | other alpha: 1/1 | split:  V-1 
m: 152  s: 125  | Scott alpha: 313/875  | other alpha: 1/1 | split:  V 
m: 224  s: 129  | Scott alpha: 124/301  | other alpha: 1/1 | split:  V 
m: 165  s: 131  | Scott alpha: 93/262  | other alpha: 1/1 | split:  V 
m: 143  s: 133  | Scott alpha: 453/1330  | other alpha: 1/1 | split:  V-1 
m: 226  s: 135  | Scott alpha: 388/945  | other alpha: 1/1 | split:  V-1 
m: 143  s: 138  | Scott alpha: 139/414  | other alpha: 1/1 | split:  V-1 
m: 148  s: 139  | Scott alpha: 281/834  | other alpha: 1/1 | split:  V-1 
m: 175  s: 139  | Scott alpha: 691/1946  | other alpha: 1/1 | split:  V 
m: 149  s: 140  | Scott alpha: 59/175  | other alpha: 1/1 | split:  V-1 
m: 233  s: 141  | Scott alpha: 691/1692  | other alpha: 1/1 | split:  V-1 
m: 151  s: 142  | Scott alpha: 24/71  | other alpha: 1/1 | split:  V-1 
m: 180  s: 143  | Scott alpha: 457/1287  | other alpha: 1/1 | split:  V 
m: 185  s: 147  | Scott alpha: 1357/3822  | other alpha: 1/1 | split:  V 
m: 157  s: 150  | Scott alpha: 151/450  | other alpha: 1/1 | split:  V-1 
m: 158  s: 151  | Scott alpha: 254/755  | other alpha: 1/1 | split:  V-1 
m: 184  s: 151  | Scott alpha: 54/151  | other alpha: 1/1 | split:  V 
m: 193  s: 151  | Scott alpha: 1063/3020  | other alpha: 1/1 | split:  V 
m: 159  s: 152  | Scott alpha: 51/152  | other alpha: 1/1 | split:  V-1 
m: 163  s: 153  | Scott alpha: 137/408  | other alpha: 1/1 | split:  V-1 
m: 201  s: 155  | Scott alpha: 237/682  | other alpha: 1/1 | split:  V 
m: 167  s: 157  | Scott alpha: 211/628  | other alpha: 1/1 | split:  V-1 
m: 201  s: 157  | Scott alpha: 331/942  | other alpha: 1/1 | split:  V 
m: 205  s: 159  | Scott alpha: 1667/4770  | other alpha: 1/1 | split:  V 
m: 175  s: 163  | Scott alpha: 390/1141  | other alpha: 1/1 | split:  V-1 
m: 203  s: 167  | Scott alpha: 1075/3006  | other alpha: 1/1 | split:  V 
m: 173  s: 168  | Scott alpha: 169/504  | other alpha: 1/1 | split:  V-1 
m: 179  s: 168  | Scott alpha: 47/140  | other alpha: 1/1 | split:  V-1 
m: 180  s: 169  | Scott alpha: 398/1183  | other alpha: 1/1 | split:  V-1 
m: 181  s: 170  | Scott alpha: 401/1190  | other alpha: 1/1 | split:  V-1 
m: 179  s: 171  | Scott alpha: 51/152  | other alpha: 1/1 | split:  V-1 
m: 182  s: 171  | Scott alpha: 32/95  | other alpha: 1/1 | split:  V-1 
m: 208  s: 171  | Scott alpha: 367/1026  | other alpha: 1/1 | split:  V 
m: 183  s: 172  | Scott alpha: 29/86  | other alpha: 1/1 | split:  V-1 
m: 181  s: 173  | Scott alpha: 349/1038  | other alpha: 1/1 | split:  V-1 
m: 184  s: 173  | Scott alpha: 233/692  | other alpha: 1/1 | split:  V-1 
m: 185  s: 176  | Scott alpha: 179/528  | other alpha: 1/1 | split:  V-1 
m: 189  s: 176  | Scott alpha: 361/1056  | other alpha: 1/1 | split:  V-1 
m: 205  s: 178  | Scott alpha: 214/623  | other alpha: 1/1 | split:  V-1 
m: 218  s: 179  | Scott alpha: 64/179  | other alpha: 1/1 | split:  V 
m: 223  s: 183  | Scott alpha: 458/1281  | other alpha: 1/1 | split:  V 
m: 197  s: 185  | Scott alpha: 373/1110  | other alpha: 1/1 | split:  V-1 
m: 199  s: 187  | Scott alpha: 505/1496  | other alpha: 1/1 | split:  V-1 
m: 230  s: 189  | Scott alpha: 338/945  | other alpha: 1/1 | split:  V 
m: 242  s: 189  | Scott alpha: 863/2457  | other alpha: 1/1 | split:  V 
m: 199  s: 192  | Scott alpha: 193/576  | other alpha: 1/1 | split:  V-1 
m: 200  s: 193  | Scott alpha: 324/965  | other alpha: 1/1 | split:  V-1 
m: 202  s: 193  | Scott alpha: 389/1158  | other alpha: 1/1 | split:  V-1 
m: 244  s: 193  | Scott alpha: 887/2509  | other alpha: 1/1 | split:  V 
m: 201  s: 194  | Scott alpha: 65/194  | other alpha: 1/1 | split:  V-1 
m: 203  s: 194  | Scott alpha: 163/485  | other alpha: 1/1 | split:  V-1 
m: 205  s: 196  | Scott alpha: 33/98  | other alpha: 1/1 | split:  V-1 
m: 203  s: 198  | Scott alpha: 199/594  | other alpha: 1/1 | split:  V-1 
m: 211  s: 198  | Scott alpha: 166/495  | other alpha: 1/1 | split:  V-1 
m: 212  s: 199  | Scott alpha: 535/1592  | other alpha: 1/1 | split:  V-1 
m: 213  s: 200  | Scott alpha: 269/800  | other alpha: 1/1 | split:  V-1 
