   m    |   s    |                   Method(s)                  |        α        |       runtime   
------------------------------------------------------------------------------------------------------

  4     |  3     |   FC             EBM                         |  =      1/3     |  multi: 0.00  -  solv: 0.00  - runtime:  0.35 
  5     |  3     |   FC  INT  HALF            MID               |  =      5/12    |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  7     |  3     |   FC                                         |  =      5/12    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  8     |  3     |   FC                                         |  =      4/9     |  multi: 0.00  -  solv: 0.00  - runtime:  0.00 
  10    |  3     |   FC                                         |  =      4/9     |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  11    |  3     |   FC                                         |  =     11/24    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  13    |  3     |   FC                                         |  =     11/24    |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  14    |  3     |   FC                                         |  =      7/15    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  16    |  3     |   FC                                         |  =      7/15    |  multi: 0.00  -  solv: 0.00  - runtime:  0.10 
  17    |  3     |   FC                                         |  =     17/36    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  19    |  3     |   FC                                         |  =     17/36    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  20    |  3     |   FC                                         |  =     10/21    |  multi: 0.00  -  solv: 0.00  - runtime:  0.01 
  22    |  3     |   FC                                         |  =     10/21    |  multi: 0.00  -  solv: 0.00  - runtime:  0.14 
  23    |  3     |   FC                                         |  =     23/48    |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  25    |  3     |   FC                                         |  =     23/48    |  multi: 0.00  -  solv: 0.00  - runtime:  0.11 
  26    |  3     |   FC                                         |  =     13/27    |  multi: 0.00  -  solv: 0.00  - runtime:  0.06 
  28    |  3     |   FC                                         |  =     13/27    |  multi: 0.00  -  solv: 0.00  - runtime:  0.14 
  29    |  3     |   FC                                         |  =     29/60    |  multi: 0.00  -  solv: 0.00  - runtime:  0.02 
  31    |  3     |   FC                                         |  =     29/60    |  multi: 0.00  -  solv: 0.00  - runtime:  0.08 
  32    |  3     |   FC                                         |  =     16/33    |  multi: 0.00  -  solv: 0.00  - runtime:  0.05 
  34    |  3     |   FC                                         |  =     16/33    |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  35    |  3     |   FC                                         |  =     35/72    |  multi: 0.00  -  solv: 0.00  - runtime:  0.03 
  37    |  3     |   FC                                         |  =     35/72    |  multi: 0.00  -  solv: 0.00  - runtime:  0.15 
  38    |  3     |   FC                                         |  =     19/39    |  multi: 0.00  -  solv: 0.00  - runtime:  0.12 
  40    |  3     |   FC                                         |  =     19/39    |  multi: 0.00  -  solv: 0.00  - runtime:  0.15 
  41    |  3     |   FC                                         |  =     41/84    |  multi: 0.00  -  solv: 0.00  - runtime:  0.04 
  43    |  3     |   FC                                         |  =     41/84    |  multi: 0.00  -  solv: 0.00  - runtime:  0.20 
  44    |  3     |   FC                                         |  =     22/45    |  multi: 0.00  -  solv: 0.00  - runtime:  0.14 
  46    |  3     |   FC                                         |  =     22/45    |  multi: 0.00  -  solv: 0.00  - runtime:  0.20 
