---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 250          |
|              SCOTT verified                |
|              time limit = 1000           |
|              m ≤ s*s                       |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
------------------------------------------------------------------------------------------------------

  4     |  3     |   FC             EBM            GAP          |  =      1/3     | runtime:  0.01
  5     |  3     |   FC  INT  HALF                 GAP          |  =      5/12    | runtime:  0.01
  7     |  3     |   FC                            GAP          |  =      5/12    | runtime:  0.03
  8     |  3     |   FC                            GAP          |  =      4/9     | runtime:  0.01
  5     |  4     |   FC  INT  HALF  EBM  HBM       GAP          |  =      3/8     | runtime:  0.02
  7     |  4     |   FC  INT  HALF                 GAP          |  =      5/12    | runtime:  0.01
  9     |  4     |   FC  INT  HALF                 GAP          |  =      7/16    | runtime:  0.01
  11    |  4     |   FC  INT  HALF                 GAP          |  =      9/20    | runtime:  0.01
  13    |  4     |   FC  INT  HALF                 GAP          |  =     11/24    | runtime:  0.01
  15    |  4     |   FC  INT  HALF                 GAP          |  =     13/28    | runtime:  0.01
  6     |  5     |   FC                                         |  =      2/5     | runtime:  0.02
  7     |  5     |   FC             EBM            GAP          |  =      1/3     | runtime:  0.01
  8     |  5     |   FC                            GAP          |  =      2/5     | runtime:  0.01
  9     |  5     |   FC                            GAP          |  =      2/5     | runtime:  0.01
  11    |  5     |       INT  HALF            MID  GAP          |  =     13/30    | runtime:  0.01
  12    |  5     |   FC                            GAP          |  =      2/5     | runtime:  0.02
  13    |  5     |   FC                            GAP          |  =     13/30    | runtime:  0.01
  14    |  5     |   FC                            GAP          |  =     11/25    | runtime:  0.01
  16    |  5     |   FC  INT                  MID  GAP  TRAIN   |  =     16/35    | runtime:  0.01
  17    |  5     |   FC                            GAP          |  =     13/30    | runtime:  0.02
  18    |  5     |   FC                            GAP          |  =      9/20    | runtime:  0.04
  19    |  5     |   FC                            GAP          |  =     16/35    | runtime:  0.02
  21    |  5     |   FC                            GAP          |  =      7/15    | runtime:  0.01
  22    |  5     |   FC                            GAP          |  =      9/20    | runtime:  0.02
  23    |  5     |   FC                            GAP          |  =     23/50    | runtime:  0.02
  24    |  5     |   FC                            GAP          |  =      7/15    | runtime:  0.02
  7     |  6     |       INT  HALF  EBM            GAP          |  =      1/3     | runtime:  0.01
  11    |  6     |   FC                            GAP          |  =      7/18    | runtime:  0.02
  13    |  6     |   FC  INT                  MID  GAP  TRAIN   |  =     13/30    | runtime:  0.01
  17    |  6     |   FC                            GAP          |  =     13/30    | runtime:  0.03
  19    |  6     |   FC                            GAP          |  =     19/42    | runtime:  0.03
  23    |  6     |   FC                            GAP          |  =     19/42    | runtime:  0.03
  25    |  6     |   FC                            GAP          |  =     25/54    | runtime:  0.02
  29    |  6     |   FC                            GAP          |  =     25/54    | runtime:  0.03
  31    |  6     |   FC                            GAP          |  =     31/66    | runtime:  0.03
  35    |  6     |   FC                            GAP          |  =     31/66    | runtime:  0.04
  8     |  7     |       INT  HALF  EBM  HBM  MID  GAP          |  =      5/14    | runtime:  0.02
  9     |  7     |   FC  INT        EBM       MID  GAP          |  =      5/14    | runtime:  0.03
