---------------------------------------------
|        3 ≤ s ≤ 100    s < m < 110          |
|              SCOTT verified                |
|              time limit = 1000           |
---------------------------------------------

   m    |   s    |                   Method(s)                  |        α        |       runtime   
------------------------------------------------------------------------------------------------------

  4     |  3     |   FC                                         |  =      1/3     | runtime:  0.00
  5     |  3     |   FC                                         |  =      5/12    | runtime:  0.00
  7     |  3     |   FC                                         |  =      5/12    | runtime:  0.00
  8     |  3     |   FC                                         |  =      4/9     | runtime:  0.00
  10    |  3     |   FC                                         |  =      4/9     | runtime:  0.00
  11    |  3     |   FC                                         |  =     11/24    | runtime:  0.00
  13    |  3     |   FC                                         |  =     11/24    | runtime:  0.00
  14    |  3     |   FC                                         |  =      7/15    | runtime:  0.00
  16    |  3     |   FC                                         |  =      7/15    | runtime:  0.00
  17    |  3     |   FC                                         |  =     17/36    | runtime:  0.00
  19    |  3     |   FC                                         |  =     17/36    | runtime:  0.00
  20    |  3     |   FC                                         |  =     10/21    | runtime:  0.00
  22    |  3     |   FC                                         |  =     10/21    | runtime:  0.00
  23    |  3     |   FC                                         |  =     23/48    | runtime:  0.00
  25    |  3     |   FC                                         |  =     23/48    | runtime:  0.00
  26    |  3     |   FC                                         |  =     13/27    | runtime:  0.00
  28    |  3     |   FC                                         |  =     13/27    | runtime:  0.00
  29    |  3     |   FC                                         |  =     29/60    | runtime:  0.00
  31    |  3     |   FC                                         |  =     29/60    | runtime:  0.00
  32    |  3     |   FC                                         |  =     16/33    | runtime:  0.00
  34    |  3     |   FC                                         |  =     16/33    | runtime:  0.00
  35    |  3     |   FC                                         |  =     35/72    | runtime:  0.00
  37    |  3     |   FC                                         |  =     35/72    | runtime:  0.00
  38    |  3     |   FC                                         |  =     19/39    | runtime:  0.00
  40    |  3     |   FC                                         |  =     19/39    | runtime:  0.00
  41    |  3     |   FC                                         |  =     41/84    | runtime:  0.00
  43    |  3     |   FC                                         |  =     41/84    | runtime:  0.00
  44    |  3     |   FC                                         |  =     22/45    | runtime:  0.00
  46    |  3     |   FC                                         |  =     22/45    | runtime:  0.00
  47    |  3     |   FC                                         |  =     47/96    | runtime:  0.00
  49    |  3     |   FC                                         |  =     47/96    | runtime:  0.00
  50    |  3     |   FC                                         |  =     25/51    | runtime:  0.00
  52    |  3     |   FC                                         |  =     25/51    | runtime:  0.00
  53    |  3     |   FC                                         |  =     53/108   | runtime:  0.00
  55    |  3     |   FC                                         |  =     53/108   | runtime:  0.00
  56    |  3     |   FC                                         |  =     28/57    | runtime:  0.00
  58    |  3     |   FC                                         |  =     28/57    | runtime:  0.00
  59    |  3     |   FC                                         |  =     59/120   | runtime:  0.00
  61    |  3     |   FC                                         |  =     59/120   | runtime:  0.00
  62    |  3     |   FC                                         |  =     31/63    | runtime:  0.00
  64    |  3     |   FC                                         |  =     31/63    | runtime:  0.00
  65    |  3     |   FC                                         |  =     65/132   | runtime:  0.00
  67    |  3     |   FC                                         |  =     65/132   | runtime:  0.00
  68    |  3     |   FC                                         |  =     34/69    | runtime:  0.00
  70    |  3     |   FC                                         |  =     34/69    | runtime:  0.00
  71    |  3     |   FC                                         |  =     71/144   | runtime:  0.00
