
   m    |   s    |                   Method(s)                  |        α        |       runtime
------------------------------------------------------------------------------------------------------
  4     |  3     |   FC             EBM            GAP          |  =      1/3     | 8.55 sec
  5     |  3     |   FC  INT  HALF                 GAP          |  =      5/12    | 1.05 sec
  7     |  3     |   FC                            GAP          |  =      5/12    | 0.14 sec
  8     |  3     |   FC                            GAP          |  =      4/9     | 0.05 sec
  10    |  3     |   FC                            GAP          |  =      4/9     | 0.08 sec
  11    |  3     |   FC                            GAP          |  =     11/24    | 0.02 sec
  13    |  3     |   FC                            GAP          |  =     11/24    | 0.16 sec
  14    |  3     |   FC                            GAP          |  =      7/15    | 0.03 sec
  16    |  3     |   FC                            GAP          |  =      7/15    | 0.17 sec
  17    |  3     |   FC                            GAP          |  =     17/36    | 0.03 sec
  19    |  3     |   FC                            GAP          |  =     17/36    | 0.11 sec
  20    |  3     |   FC                            GAP          |  =     10/21    | 0.05 sec
  22    |  3     |   FC                            GAP          |  =     10/21    | 0.17 sec
  23    |  3     |   FC                            GAP          |  =     23/48    | 0.08 sec
  25    |  3     |   FC                            GAP          |  =     23/48    | 0.23 sec
  26    |  3     |   FC                            GAP          |  =     13/27    | 0.09 sec
  28    |  3     |   FC                            GAP          |  =     13/27    | 0.22 sec
  29    |  3     |   FC                            GAP          |  =     29/60    | 0.06 sec
  31    |  3     |   FC                            GAP          |  =     29/60    | 0.19 sec
  32    |  3     |   FC                            GAP          |  =     16/33    | 0.13 sec
  34    |  3     |   FC                            GAP          |  =     16/33    | 0.17 sec
  35    |  3     |   FC                            GAP          |  =     35/72    | 0.11 sec
  37    |  3     |   FC                            GAP          |  =     35/72    | 0.23 sec
  38    |  3     |   FC                            GAP          |  =     19/39    | 0.14 sec
  40    |  3     |   FC                            GAP          |  =     19/39    | 0.24 sec
  41    |  3     |   FC                            GAP          |  =     41/84    | 0.11 sec
  43    |  3     |   FC                            GAP          |  =     41/84    | 0.31 sec
  44    |  3     |   FC                            GAP          |  =     22/45    | 0.17 sec
  46    |  3     |   FC                            GAP          |  =     22/45    | 0.30 sec
  47    |  3     |   FC                            GAP          |  =     47/96    | 0.13 sec
  49    |  3     |   FC                            GAP          |  =     47/96    | 0.29 sec
  50    |  3     |   FC                            GAP          |  =     25/51    | 0.19 sec
  52    |  3     |   FC                            GAP          |  =     25/51    | 0.34 sec
  53    |  3     |   FC                            GAP          |  =     53/108   | 0.16 sec
  55    |  3     |   FC                            GAP          |  =     53/108   | 0.34 sec
  56    |  3     |   FC                            GAP          |  =     28/57    | 0.14 sec
  58    |  3     |   FC                            GAP          |  =     28/57    | 0.33 sec
  59    |  3     |   FC                            GAP          |  =     59/120   | 0.17 sec
  61    |  3     |   FC                            GAP          |  =     59/120   | 0.37 sec
  62    |  3     |   FC                            GAP          |  =     31/63    | 0.17 sec
  64    |  3     |   FC                            GAP          |  =     31/63    | 0.38 sec
  65    |  3     |   FC                            GAP          |  =     65/132   | 0.16 sec
  67    |  3     |   FC                            GAP          |  =     65/132   | 0.49 sec
  68    |  3     |   FC                            GAP          |  =     34/69    | 0.20 sec
  70    |  3     |   FC                            GAP          |  =     34/69    | 0.50 sec
  71    |  3     |   FC                            GAP          |  =     71/144   | 0.23 sec
  73    |  3     |   FC                            GAP          |  =     71/144   | 0.58 sec
  74    |  3     |   FC                            GAP          |  =     37/75    | 0.30 sec
  76    |  3     |   FC                            GAP          |  =     37/75    | 0.52 sec
  77    |  3     |   FC                            GAP          |  =     77/156   | 0.21 sec
  79    |  3     |   FC                            GAP          |  =     77/156   | 0.70 sec
  80    |  3     |   FC                            GAP          |  =     40/81    | 0.30 sec
  82    |  3     |   FC                            GAP          |  =     40/81    | 0.68 sec
  83    |  3     |   FC                            GAP          |  =     83/168   | 0.25 sec
  85    |  3     |   FC                            GAP          |  =     83/168   | 0.88 sec
  86    |  3     |   FC                            GAP          |  =     43/87    | 0.30 sec
