
m: 94  s: 25  | Scott alpha: 37/80  | other alpha: 1/1 | split:  V 
m: 119  s: 25  | Scott alpha: 683/1450  | other alpha: 1/1 | split:  V 
m: 167  s: 29  | Scott alpha: 1133/2378  | other alpha: 1/1 | split:  V 
m: 163  s: 31  | Scott alpha: 823/1736  | other alpha: 1/1 | split:  V 
m: 157  s: 33  | Scott alpha: 653/1386  | other alpha: 1/1 | split:  V 
m: 223  s: 33  | Scott alpha: 581/1210  | other alpha: 1/1 | split:  V 
m: 184  s: 35  | Scott alpha: 156/329  | other alpha: 1/1 | split:  V 
m: 250  s: 37  | Scott alpha: 764/1591  | other alpha: 1/1 | split:  V 
m: 287  s: 37  | Scott alpha: 2537/5254  | other alpha: 1/1 | split:  V 
m: 283  s: 39  | Scott alpha: 1747/3627  | other alpha: 1/1 | split:  V 
m: 236  s: 41  | Scott alpha: 254/533  | other alpha: 1/1 | split:  V 
m: 277  s: 41  | Scott alpha: 1457/3034  | other alpha: 1/1 | split:  V 
m: 359  s: 41  | Scott alpha: 3539/7298  | other alpha: 1/1 | split:  V 
m: 179  s: 42  | Scott alpha: 569/1218  | other alpha: 1/1 | split:  V 
m: 269  s: 43  | Scott alpha: 391/817  | other alpha: 1/1 | split:  V 
m: 312  s: 43  | Scott alpha: 1657/3440  | other alpha: 1/1 | split:  V 
m: 355  s: 43  | Scott alpha: 2539/5246  | other alpha: 1/1 | split:  V 
m: 304  s: 45  | Scott alpha: 134/279  | other alpha: 1/1 | split:  V 
m: 394  s: 45  | Scott alpha: 2837/5850  | other alpha: 1/1 | split:  V 
m: 439  s: 45  | Scott alpha: 1591/3270  | other alpha: 1/1 | split:  V 
m: 177  s: 47  | Scott alpha: 1737/3760  | other alpha: 1/1 | split:  V 
m: 331  s: 49  | Scott alpha: 1459/3038  | other alpha: 1/1 | split:  V 
m: 429  s: 49  | Scott alpha: 129/266  | other alpha: 1/1 | split:  V 
m: 478  s: 49  | Scott alpha: 1955/4018  | other alpha: 1/1 | split:  V 
m: 527  s: 49  | Scott alpha: 6263/12838  | other alpha: 1/1 | split:  V 
m: 213  s: 50  | Scott alpha: 257/550  | other alpha: 1/1 | split:  V 
m: 263  s: 50  | Scott alpha: 1967/4150  | other alpha: 1/1 | split:  V 
m: 370  s: 51  | Scott alpha: 1646/3417  | other alpha: 1/1 | split:  V 
m: 421  s: 51  | Scott alpha: 757/1564  | other alpha: 1/1 | split:  V 
m: 472  s: 51  | Scott alpha: 2998/6171  | other alpha: 1/1 | split:  V 
m: 523  s: 51  | Scott alpha: 1433/2941  | other alpha: 1/1 | split:  V 
m: 147  s: 53  | Scott alpha: 1463/3286  | other alpha: 1/1 | split:  V 
m: 411  s: 53  | Scott alpha: 1843/3816  | other alpha: 1/1 | split:  V 
m: 464  s: 53  | Scott alpha: 2519/5194  | other alpha: 1/1 | split:  V 
m: 517  s: 53  | Scott alpha: 3301/6784  | other alpha: 1/1 | split:  V 
m: 623  s: 53  | Scott alpha: 8033/16430  | other alpha: 1/1 | split:  V 
m: 311  s: 54  | Scott alpha: 656/1377  | other alpha: 1/1 | split:  V 
m: 152  s: 55  | Scott alpha: 54/121  | other alpha: 1/1 | split:  V 
m: 207  s: 55  | Scott alpha: 1271/2750  | other alpha: 1/1 | split:  V 
m: 454  s: 55  | Scott alpha: 410/847  | other alpha: 1/1 | split:  V 
m: 509  s: 55  | Scott alpha: 2779/5720  | other alpha: 1/1 | split:  V 
m: 619  s: 55  | Scott alpha: 1139/2332  | other alpha: 1/1 | split:  V 
m: 158  s: 57  | Scott alpha: 584/1311  | other alpha: 1/1 | split:  V 
m: 442  s: 57  | Scott alpha: 991/2052  | other alpha: 1/1 | split:  V 
m: 613  s: 57  | Scott alpha: 4505/9234  | other alpha: 1/1 | split:  V 
m: 670  s: 57  | Scott alpha: 6187/12654  | other alpha: 1/1 | split:  V 
m: 727  s: 57  | Scott alpha: 3369/6878  | other alpha: 1/1 | split:  V 
m: 247  s: 58  | Scott alpha: 1003/2146  | other alpha: 1/1 | split:  V 
m: 222  s: 59  | Scott alpha: 300/649  | other alpha: 1/1 | split:  V 
m: 281  s: 59  | Scott alpha: 3611/7670  | other alpha: 1/1 | split:  V 
m: 487  s: 59  | Scott alpha: 2199/4543  | other alpha: 1/1 | split:  V 
m: 664  s: 59  | Scott alpha: 4899/10030  | other alpha: 1/1 | split:  V 
m: 169  s: 61  | Scott alpha: 1033/2318  | other alpha: 1/1 | split:  V 
m: 534  s: 61  | Scott alpha: 1213/2501  | other alpha: 1/1 | split:  V 
m: 595  s: 61  | Scott alpha: 653/1342  | other alpha: 1/1 | split:  V 
m: 656  s: 61  | Scott alpha: 2113/4331  | other alpha: 1/1 | split:  V 
m: 717  s: 61  | Scott alpha: 5309/10858  | other alpha: 1/1 | split:  V 
m: 778  s: 61  | Scott alpha: 3974/8113  | other alpha: 1/1 | split:  V 
m: 839  s: 61  | Scott alpha: 12509/25498  | other alpha: 1/1 | split:  V 
